PassengerId,Survived,Ticket
449,1,2666
433,1,SC/AH 3085
431,1,110564
430,1,SOTON/O.Q. 392078
428,1,250655
427,1,2003
287,1,345774
289,1,237798
290,1,370373
291,1,19877
292,1,11967
418,1,250652
432,1,376564
450,1,113786
276,1,13502
454,1,17453
487,1,19943
485,1,11967
484,1,4134
256,1,2650
257,1,PC 17585
480,1,3101298
258,1,110152
259,1,PC 17755
260,1,230433
262,1,347077
474,1,SC/AH Basle 541
473,1,C.A. 34651
470,1,2666
268,1,347083
269,1,PC 17582
270,1,PC 17760
272,1,LINE
461,1,19952
273,1,250644
459,1,F.C.C. 13531
458,1,17464
456,1,349240
275,1,370375
417,1,28220
415,1,STON/O 2. 3101269
413,1,19928
299,1,19988
320,1,16966
323,1,234818
371,1,11765
370,1,PC 17477
369,1,14313
368,1,2626
367,1,110813
324,1,248738
326,1,PC 17760
328,1,28551
329,1,363291
360,1,330980
359,1,330931
330,1,111361
357,1,113505
331,1,367226
335,1,PC 17611
349,1,C.A. 37671
348,1,386525
347,1,31418
346,1,248733
338,1,16966
339,1,7598
376,1,PC 17604
490,1,C.A. 37671
377,1,C 7077
317,1,244367
300,1,PC 17558
408,1,29106
301,1,9234
302,1,367226
304,1,226593
306,1,113781
401,1,STON/O 2. 3101289
400,1,240929
307,1,17421
308,1,PC 17758
310,1,PC 17485
395,1,PP 9549
394,1,35273
311,1,11767
392,1,350034
391,1,113760
390,1,SC 1748
312,1,PC 17608
388,1,27849
384,1,113789
316,1,347470
382,1,2653
381,1,PC 17757
319,1,36928
137,1,11752
249,1,11751
497,1,36947
619,1,230136
341,1,230080
613,1,367230
610,1,PC 17582
609,1,SC/Paris 2123
608,1,113804
605,1,111426
184,1,230136
185,1,315153
601,1,243847
173,1,347742
600,1,PC 17485
597,1,248727
188,1,111428
191,1,234604
592,1,36947
193,1,350046
194,1,230080
588,1,13567
195,1,PC 17610
586,1,110413
196,1,PC 17569
187,1,370365
622,1,11753
623,1,2653
628,1,13502
671,1,29750
670,1,19996
142,1,347081
143,1,STON/O2. 3101279
665,1,STON/O 2. 3101285
147,1,350043
661,1,PC 17611
152,1,113776
654,1,330919
652,1,231919
650,1,CA. 2314
648,1,13213
157,1,35851
646,1,PC 17572
645,1,2666
644,1,1601
642,1,PC 17477
162,1,C.A. 33595
636,1,237668
633,1,13214
166,1,363291
631,1,27042
167,1,113505
582,1,17421
581,1,237789
580,1,STON/O 2. 3101286
199,1,370370
538,1,PC 17761
221,1,SOTON/OQ 392089
536,1,F.C.C. 13529
534,1,2668
531,1,26360
225,1,19943
227,1,SW/PP 751
527,1,W./C. 14258
524,1,111361
231,1,36973
521,1,12749
519,1,226875
517,1,C.A. 34260
234,1,347077
514,1,PC 17603
513,1,PC 17473
511,1,382651
510,1,1601
508,1,111427
507,1,26360
238,1,C.A. 31921
505,1,110152
242,1,367230
540,1,13568
248,1,250649
541,1,WE/P 5735
544,1,2908
578,1,13507
577,1,243880
574,1,14312
573,1,PC 17474
572,1,11769
571,1,S.W./PP 752
570,1,350417
205,1,A/5 3540
208,1,2699
209,1,367231
210,1,112277
560,1,345572
559,1,110413
557,1,11755
212,1,F.C.C. 13528
555,1,347085
554,1,2620
551,1,17421
550,1,C.A. 33112
548,1,SC/PARIS 2146
547,1,2908
216,1,35273
217,1,STON/O2. 3101283
219,1,11813
446,1,33638
